accoutrements	accouterments
aeon	eon
aeons	eons
aerogramme	aerogram
aerogrammes	aerograms
aeroplane	airplane
aeroplanes	airplanes
aesthete	esthete
aesthetes	esthetes
aesthetic	esthetic
aesthetically	esthetically
aesthetics	esthetics
aetiology	etiology
aggrandisement	aggrandizement
almanack	almanac
almanacks	almanacs
aluminium	aluminum
amphitheatre	amphitheater
amphitheatres	amphitheaters
anaemia	anemia
anaemic	anemic
anaesthesia	anesthesia
anaesthetic	anesthetic
anaesthetics	anesthetics
anaesthetize	anesthetize
anaesthetized	anesthetized
anaesthetizes	anesthetizes
anaesthetizing	anesthetizing
anaesthetist	anesthesiologist
anaesthetist	anesthetist
anaesthetists	anesthetists
anaesthetize	anesthetize
anaesthetized	anesthetized
anaesthetizes	anesthetizes
anaesthetizing	anesthetizing
analogue	analog
analogues	analogs
analyse	analyze
analysed	analyzed
analyser	analyzer
analyses	analyzes
analysing	analyzing
antennae	antennas
anti-aliased	antialiased
anti-aliasing	antialiasing
anti-clockwise	counter-clockwise
anti-clockwise	counterclockwise
any more	anymore
appal	appall
appals	appalls
arbour	arbor
arbours	arbors
archaeological	archeological
archaeologically	archeologically
archaeologist	archeologist
archaeologists	archeologists
archaeology	archeology
ardour	ardor
armour	armor
armoured	armored
armourer	armorer
armourers	armorers
armouries	armories
armoury	armory
artefact	artifact
artefacts	artifacts
backpedalled	backpedaled
backpedalling	backpedaling
bannister	banister
bannisters	banisters
battleaxe	battleax
baulk	balk
baulked	balked
baulking	balking
baulks	balks
bedevilled	bedeviled
bedevilling	bedeviling
behaviour	behavior
behavioural	behavioral
behaviourism	behaviorism
behaviourist	behaviorist
behaviourists	behaviorists
behaviours	behaviors
behove	behoove
behoved	behooved
behoves	behooves
bejewelled	bejeweled
belabour	belabor
belaboured	belabored
belabouring	belaboring
belabours	belabors
bevelled	beveled
bevvies	bevies
bevvy	bevy
bingeing	binging
bougainvillaea	bougainvillea
bougainvillaeas	bougainvilleas
breathalyse	breathalyze
breathalysed	breathalyzed
breathalyser	breathalyzer
breathalysers	breathalyzers
breathalyses	breathalyzes
breathalysing	breathalyzing
caesarean	cesarean
caesareans	cesareans
calibre	caliber
calibres	calibers
calliper	caliper
callipers	calipers
callisthenics	calisthenics
cancellation	cancelation
cancellations	cancelations
cancelled	canceled
cancelling	canceling
candour	candor
car park	parking lot
carolled	caroled
carolling	caroling
case-insensitive	case insensitive
case-sensitive	case sensitive
catalogue	catalog
catalogue	catalog
catalogue.	catalog.
catalogued	cataloged
catalogues	catalogs
cataloguing	cataloging
catalyse	catalyze
catalysed	catalyzed
catalyses	catalyzes
catalysing	catalyzing
cavilled	caviled
cavilling	caviling
centigramme	centigram
centigrammes	centigrams
centilitre	centiliter
centilitres	centiliters
centimetre	centimeter
centimetres	centimeters
centre	center
centred	centered
centrefold	centerfold
centrefolds	centerfolds
centrepiece	centerpiece
centrepieces	centerpieces
centres	centers
centring	centering
channelled	channeled
channelling	channeling
charivari	shivaree
chequebook	checkbook
chequebooks	checkbooks
chequer	checker
chequerboard	checkerboard
chequered	checkered
cheques	checks
chilli	chili
chimaera	chimera
chimaeras	chimeras
chiselled	chiseled
chiselling	chiseling
clamour	clamor
clamoured	clamored
clamouring	clamoring
clamours	clamors
clangour	clangor
clarinettist	clarinetist
clarinettists	clarinetists
co-operate	cooperate
co-ordinate	coordinate
colour	color
colour-key	colorkey
colour-space	colorspace
colourant	colorant
colourants	colorants
coloured	colored
coloureds	coloreds
colourer	colorer
colourful	colorful
colourfully	colorfully
colouring	coloring
colourize	colorize
colourized	colorized
colourizes	colorizes
colourizing	colorizing
colourless	colorless
colours	colors
connexion	connection
connexions	connections
cosier	cozier
cosies	cozies
cosiest	coziest
cosily	cozily
cosiness	coziness
cosy	cozy
councillor	councilor
councillors	councilors
counselled	counseled
counselling	counseling
counsellor	counselor
counsellors	counselors
coupé	coupe
crenellated	crenelated
crueller	crueler
cruellest	cruelest
cudgelled	cudgeled
cudgelling	cudgeling
curricula	curriculums
cypher	cipher
cyphers	ciphers
dealt	dealed
defence	defense
defenceless	defenseless
defences	defenses
demeanour	demeanor
dialled	dialed
dialler	dialer
dialling	dialing
dialogue	dialog
dialogues	dialogs
diarrhoea	diarrhea
disc	disk
disc-	disk-
disc,	disk,
disc;	disk;
disc.	disk.
discolour	discolor
discoloured	discolored
discolouring	discoloring
discolours	discolors
discs	disks
discy	disky
disembowelled	disemboweled
disembowelling	disemboweling
disfavour	disfavor
dishevelled	disheveled
dishonour	dishonor
dishonourable	dishonorable
dishonourably	dishonorably
dishonoured	dishonored
dishonouring	dishonoring
dishonours	dishonors
distil	distill
distils	distills
doughnut	donut
draught	draft
draughtboard	draftboard
draughtboards	draftboards
